Date,Close,SMA_20,EMA_20,MACD,MACD_Signal,MACD_Hist,RSI,ROC,BB_Width,ATR,OBV
2010-01-04,36.38437271118164,,,,,,,,,0.0,18556900
2010-01-05,36.41643142700195,,,,,,,,,0.0,32909700
2010-01-06,36.570369720458984,,,,,,,,,0.0,44797800
2010-01-07,36.429264068603516,,,,,,,,,0.0,33891200
2010-01-08,36.71788024902344,,,,,,,,,0.0,46717700
2010-01-11,37.01931381225586,,,,,,,,,0.0,59105200
2010-01-12,36.58319091796875,,,,,,,,,0.0,40075500
2010-01-13,36.89104080200195,,,,,,,,,0.0,55522100
2010-01-14,37.173240661621094,,,,,,,,,0.0,68884700
2010-01-15,36.589603424072266,,,,,,,,,0.0,49603000
2010-01-19,36.948753356933594,,,,,,,,,0.0,67110700
2010-01-20,36.00596618652344,,,,,,,,,0.0,42600600
2010-01-21,35.23633575439453,,,,,,,-3.155302321412002,,0.0,19621500
2010-01-22,34.55008316040039,,,,,,26.559894404592598,-5.125016904368361,,0.5781395737379569,-7811000
2010-01-25,34.97336959838867,,,,,,33.989065407602155,-4.3669236441350066,,0.5876938189263444,12431700
2010-01-26,34.774539947509766,,,,,,32.334424789604384,-4.542293574686485,,0.5809905099379323,-9703600
2010-01-27,34.73606872558594,,,,,,32.0097221075014,-5.397401783536263,,0.5779720021317221,-36859600
2010-01-28,34.15243911743164,,,,,,27.49830769627907,-7.744267517662881,,0.5985338557383594,-63002200
2010-01-29,33.65858840942383,,,,,,24.368595732839665,-7.9943887757161995,,0.6153362878013294,-91919400
2010-02-01,34.27428436279297,35.80425682067871,35.4080367242197,,,,34.393907286684325,-7.093203071318556,12.260983855950853,0.6190276329845147,-68795600
2010-02-02,34.84510803222656,35.72729358673096,35.3544244678394,,,,42.06187861472271,-6.262926201637765,12.405411966580871,0.6215398557065781,-49075400
2010-02-03,34.479530334472656,35.630448532104495,35.27110121704257,,,,38.924133485554584,-5.766865153316733,12.66365728388095,0.6160839951281681,-69301300
2010-02-04,33.074954986572266,35.45567779541015,35.06194443318826,,,,29.74352500274111,-10.484246472240972,13.928482090510046,0.6737790938057373,-101503500
