Date,VIX,SKEW,GEPU,DTB3,GS10,HY_SPREAD,INDPRO,CPI,UNRATE
2010-01-04,20.040000915527344,123.84,112.9938228,0.08,3.73,6.34,89.1897,217.488,9.8
2010-01-05,19.350000381469727,122.99,112.9938228,0.07,3.73,6.3,89.1897,217.488,9.8
2010-01-06,19.15999984741211,121.63,112.9938228,0.06,3.73,6.17,89.1897,217.488,9.8
2010-01-07,19.059999465942383,120.17,112.9938228,0.05,3.73,6.03,89.1897,217.488,9.8
2010-01-08,18.1299991607666,120.15,112.9938228,0.05,3.73,6.02,89.1897,217.488,9.8
2010-01-11,17.549999237060547,119.1,112.9938228,0.04,3.73,5.99,89.1897,217.488,9.8
2010-01-12,18.25,120.66,112.9938228,0.05,3.73,6.07,89.1897,217.488,9.8
2010-01-13,17.850000381469727,125.89,112.9938228,0.06,3.73,6.03,89.1897,217.488,9.8
2010-01-14,17.6299991607666,125.06,112.9938228,0.05,3.73,6.04,89.1897,217.488,9.8
2010-01-15,17.90999984741211,124.32,112.9938228,0.06,3.73,6.1,89.1897,217.488,9.8
2010-01-19,17.579999923706055,124.28,112.9938228,0.06,3.73,6.11,89.1897,217.488,9.8
2010-01-20,18.68000030517578,124.1,112.9938228,0.05,3.73,6.16,89.1897,217.488,9.8
2010-01-21,22.270000457763672,121.99,112.9938228,0.06,3.73,6.24,89.1897,217.488,9.8
2010-01-22,27.309999465942383,122.88,112.9938228,0.06,3.73,6.36,89.1897,217.488,9.8
2010-01-25,25.40999984741211,122.54,112.9938228,0.06,3.73,6.42,89.1897,217.488,9.8
2010-01-26,24.549999237060547,118.41,112.9938228,0.07,3.73,6.44,89.1897,217.488,9.8
2010-01-27,23.139999389648438,118.98,112.9938228,0.08,3.73,6.41,89.1897,217.488,9.8
2010-01-28,23.729999542236328,117.98,112.9938228,0.08,3.73,6.41,89.1897,217.488,9.8
2010-01-29,24.6200008392334,117.5,112.9938228,0.08,3.73,6.46,89.1897,217.488,9.8
2010-02-01,22.59000015258789,119.22,111.288208,0.1,3.69,6.54,89.5046,217.281,9.8
2010-02-02,21.479999542236328,120.46,111.288208,0.1,3.69,6.54,89.5046,217.281,9.8
2010-02-03,21.600000381469727,119.95,111.288208,0.1,3.69,6.46,89.5046,217.281,9.8
2010-02-04,26.079999923706055,116.02,111.288208,0.09,3.69,6.59,89.5046,217.281,9.8
2010-02-05,26.110000610351562,118.75,111.288208,0.1,3.69,6.81,89.5046,217.281,9.8
2010-02-08,26.510000228881836,117.68,111.288208,0.12,3.69,6.85,89.5046,217.281,9.8
2010-02-09,26.0,120.43,111.288208,0.12,3.69,6.88,89.5046,217.281,9.8
2010-02-10,25.399999618530273,118.51,111.288208,0.11,3.69,6.93,89.5046,217.281,9.8
2010-02-11,23.959999084472656,120.13,111.288208,0.11,3.69,6.98,89.5046,217.281,9.8
2010-02-12,22.729999542236328,113.71,111.288208,0.1,3.69,7.03,89.5046,217.281,9.8
2010-02-16,22.25,120.89,111.288208,0.1,3.69,7.02,89.5046,217.281,9.8
2010-02-17,21.719999313354492,119.63,111.288208,0.1,3.69,6.8,89.5046,217.281,9.8
2010-02-18,20.6299991607666,122.56,111.288208,0.1,3.69,6.65,89.5046,217.281,9.8
2010-02-19,20.020000457763672,118.53,111.288208,0.11,3.69,6.56,89.5046,217.281,9.8
2010-02-22,19.940000534057617,121.33,111.288208,0.11,3.69,6.5,89.5046,217.281,9.8
2010-02-23,21.3700008392334,120.82,111.288208,0.12,3.69,6.6,89.5046,217.281,9.8
2010-02-24,20.270000457763672,120.61,111.288208,0.12,3.69,6.58,89.5046,217.281,9.8
2010-02-25,20.100000381469727,121.28,111.288208,0.13,3.69,6.65,89.5046,217.281,9.8
2010-02-26,19.5,120.13,111.288208,0.13,3.69,6.66,89.5046,217.281,9.8
2010-03-01,19.260000228881836,120.8,107.5168647,0.13,3.73,6.66,90.1356,217.353,9.9
2010-03-02,19.059999465942383,120.28,107.5168647,0.14,3.73,6.58,90.1356,217.353,9.9
2010-03-03,18.829999923706055,119.03,107.5168647,0.14,3.73,6.54,90.1356,217.353,9.9
2010-03-04,18.719999313354492,120.75,107.5168647,0.14,3.73,6.49,90.1356,217.353,9.9
2010-03-05,17.420000076293945,118.03,107.5168647,0.15,3.73,6.37,90.1356,217.353,9.9
2010-03-08,17.790000915527344,117.56,107.5168647,0.16,3.73,6.27,90.1356,217.353,9.9
2010-03-09,17.920000076293945,116.64,107.5168647,0.16,3.73,6.23,90.1356,217.353,9.9
2010-03-10,18.56999969482422,117.98,107.5168647,0.15,3.73,6.16,90.1356,217.353,9.9
2010-03-11,18.059999465942383,117.48,107.5168647,0.16,3.73,6.15,90.1356,217.353,9.9
2010-03-12,17.579999923706055,118.96,107.5168647,0.15,3.73,6.11,90.1356,217.353,9.9
2010-03-15,18.0,120.63,107.5168647,0.17,3.73,6.12,90.1356,217.353,9.9
2010-03-16,17.690000534057617,123.51,107.5168647,0.16,3.73,6.16,90.1356,217.353,9.9
2010-03-17,16.90999984741211,119.66,107.5168647,0.15,3.73,6.11,90.1356,217.353,9.9
2010-03-18,16.6200008392334,120.27,107.5168647,0.16,3.73,6.02,90.1356,217.353,9.9
2010-03-19,16.969999313354492,121.97,107.5168647,0.16,3.73,5.98,90.1356,217.353,9.9
2010-03-22,16.8700008392334,123.63,107.5168647,0.15,3.73,6.02,90.1356,217.353,9.9
2010-03-23,16.350000381469727,121.18,107.5168647,0.14,3.73,6.0,90.1356,217.353,9.9
2010-03-24,17.549999237060547,122.67,107.5168647,0.14,3.73,5.85,90.1356,217.353,9.9
2010-03-25,18.399999618530273,122.14,107.5168647,0.14,3.73,5.78,90.1356,217.353,9.9
2010-03-26,17.770000457763672,123.14,107.5168647,0.14,3.73,5.8,90.1356,217.353,9.9
2010-03-29,17.59000015258789,123.2,107.5168647,0.15,3.73,5.79,90.1356,217.353,9.9
2010-03-30,17.1299991607666,124.03,107.5168647,0.16,3.73,5.77,90.1356,217.353,9.9
2010-03-31,17.59000015258789,123.7,107.5168647,0.16,3.73,5.84,90.1356,217.353,9.9
2010-04-01,17.469999313354492,123.93,103.7608636,0.16,3.85,5.82,90.4607,217.403,9.9
2010-04-05,17.020000457763672,123.78,103.7608636,0.18,3.85,5.65,90.4607,217.403,9.9
2010-04-06,16.229999542236328,123.29,103.7608636,0.17,3.85,5.65,90.4607,217.403,9.9
2010-04-07,16.6200008392334,123.27,103.7608636,0.17,3.85,5.72,90.4607,217.403,9.9
2010-04-08,16.479999542236328,122.67,103.7608636,0.17,3.85,5.7,90.4607,217.403,9.9
2010-04-09,16.139999389648438,124.36,103.7608636,0.16,3.85,5.68,90.4607,217.403,9.9
2010-04-12,15.579999923706055,123.16,103.7608636,0.16,3.85,5.68,90.4607,217.403,9.9
2010-04-13,16.200000762939453,125.54,103.7608636,0.16,3.85,5.66,90.4607,217.403,9.9
2010-04-14,15.59000015258789,125.77,103.7608636,0.16,3.85,5.57,90.4607,217.403,9.9
2010-04-15,15.890000343322754,126.29,103.7608636,0.16,3.85,5.52,90.4607,217.403,9.9
2010-04-16,18.360000610351562,131.33,103.7608636,0.16,3.85,5.57,90.4607,217.403,9.9
2010-04-19,17.34000015258789,131.14,103.7608636,0.16,3.85,5.59,90.4607,217.403,9.9
2010-04-20,15.729999542236328,134.19,103.7608636,0.16,3.85,5.54,90.4607,217.403,9.9
2010-04-21,16.31999969482422,129.84,103.7608636,0.15,3.85,5.55,90.4607,217.403,9.9
2010-04-22,16.469999313354492,127.48,103.7608636,0.16,3.85,5.5,90.4607,217.403,9.9
2010-04-23,16.6200008392334,126.13,103.7608636,0.16,3.85,5.44,90.4607,217.403,9.9
2010-04-26,17.469999313354492,124.25,103.7608636,0.16,3.85,5.42,90.4607,217.403,9.9
2010-04-27,22.809999465942383,124.98,103.7608636,0.16,3.85,5.55,90.4607,217.403,9.9
2010-04-28,21.079999923706055,128.4,103.7608636,0.16,3.85,5.51,90.4607,217.403,9.9
2010-04-29,18.440000534057617,129.28,103.7608636,0.17,3.85,5.54,90.4607,217.403,9.9
2010-04-30,22.049999237060547,125.41,103.7608636,0.16,3.85,5.61,90.4607,217.403,9.9
2010-05-03,20.190000534057617,125.35,146.7833019,0.17,3.42,5.57,91.7014,217.29,9.6
2010-05-04,23.84000015258789,124.86,146.7833019,0.16,3.42,5.68,91.7014,217.29,9.6
2010-05-05,24.90999984741211,122.82,146.7833019,0.15,3.42,5.91,91.7014,217.29,9.6
2010-05-06,32.79999923706055,122.16,146.7833019,0.11,3.42,6.26,91.7014,217.29,9.6
2010-05-07,40.95000076293945,123.86,146.7833019,0.13,3.42,6.47,91.7014,217.29,9.6
2010-05-10,28.84000015258789,128.64,146.7833019,0.16,3.42,6.25,91.7014,217.29,9.6
2010-05-11,28.31999969482422,127.09,146.7833019,0.16,3.42,6.34,91.7014,217.29,9.6
2010-05-12,25.520000457763672,124.26,146.7833019,0.16,3.42,6.18,91.7014,217.29,9.6
2010-05-13,26.68000030517578,126.2,146.7833019,0.16,3.42,6.14,91.7014,217.29,9.6
2010-05-14,31.239999771118164,128.47,146.7833019,0.16,3.42,6.33,91.7014,217.29,9.6
2010-05-17,30.84000015258789,128.87,146.7833019,0.16,3.42,6.36,91.7014,217.29,9.6
2010-05-18,33.54999923706055,123.88,146.7833019,0.17,3.42,6.46,91.7014,217.29,9.6
2010-05-19,35.31999969482422,126.33,146.7833019,0.17,3.42,6.59,91.7014,217.29,9.6
2010-05-20,45.790000915527344,123.36,146.7833019,0.17,3.42,6.92,91.7014,217.29,9.6
2010-05-21,40.099998474121094,125.56,146.7833019,0.17,3.42,7.02,91.7014,217.29,9.6
2010-05-24,38.31999969482422,125.0,146.7833019,0.17,3.42,6.97,91.7014,217.29,9.6
2010-05-25,34.61000061035156,123.28,146.7833019,0.17,3.42,7.24,91.7014,217.29,9.6
2010-05-26,35.02000045776367,121.48,146.7833019,0.17,3.42,7.07,91.7014,217.29,9.6
2010-05-27,29.68000030517578,125.73,146.7833019,0.17,3.42,6.88,91.7014,217.29,9.6
2010-05-28,32.06999969482422,123.13,146.7833019,0.16,3.42,6.9,91.7014,217.29,9.6
2010-06-01,35.540000915527344,119.63,133.7918946,0.16,3.2,7.04,91.9033,217.199,9.4
2010-06-02,30.170000076293945,123.69,133.7918946,0.16,3.2,7.04,91.9033,217.199,9.4
2010-06-03,29.459999084472656,123.83,133.7918946,0.14,3.2,6.93,91.9033,217.199,9.4
2010-06-04,35.47999954223633,121.11,133.7918946,0.14,3.2,7.14,91.9033,217.199,9.4
2010-06-07,36.56999969482422,119.21,133.7918946,0.12,3.2,7.18,91.9033,217.199,9.4
2010-06-08,33.70000076293945,120.74,133.7918946,0.12,3.2,7.27,91.9033,217.199,9.4
2010-06-09,33.72999954223633,119.97,133.7918946,0.1,3.2,7.26,91.9033,217.199,9.4
2010-06-10,30.56999969482422,122.34,133.7918946,0.1,3.2,7.19,91.9033,217.199,9.4
2010-06-11,28.790000915527344,122.81,133.7918946,0.08,3.2,7.27,91.9033,217.199,9.4
2010-06-14,28.579999923706055,121.69,133.7918946,0.07,3.2,7.16,91.9033,217.199,9.4
2010-06-15,25.8700008392334,124.8,133.7918946,0.09,3.2,7.03,91.9033,217.199,9.4
2010-06-16,25.920000076293945,121.48,133.7918946,0.1,3.2,6.97,91.9033,217.199,9.4
2010-06-17,25.049999237060547,122.13,133.7918946,0.09,3.2,6.91,91.9033,217.199,9.4
2010-06-18,23.950000762939453,122.98,133.7918946,0.11,3.2,6.82,91.9033,217.199,9.4
2010-06-21,24.8799991607666,121.73,133.7918946,0.12,3.2,6.68,91.9033,217.199,9.4
2010-06-22,27.049999237060547,120.42,133.7918946,0.13,3.2,6.75,91.9033,217.199,9.4
2010-06-23,26.90999984741211,119.84,133.7918946,0.13,3.2,6.82,91.9033,217.199,9.4
2010-06-24,29.739999771118164,119.56,133.7918946,0.13,3.2,6.89,91.9033,217.199,9.4
2010-06-25,28.530000686645508,119.37,133.7918946,0.13,3.2,6.9,91.9033,217.199,9.4
2010-06-28,29.0,120.3,133.7918946,0.17,3.2,6.93,91.9033,217.199,9.4
2010-06-29,34.130001068115234,118.13,133.7918946,0.15,3.2,7.06,91.9033,217.199,9.4
2010-06-30,34.540000915527344,116.87,133.7918946,0.18,3.2,7.13,91.9033,217.199,9.4
2010-07-01,32.86000061035156,116.76,141.8709528,0.17,3.01,7.17,92.2549,217.605,9.4
2010-07-02,30.1200008392334,114.65,141.8709528,0.17,3.01,7.13,92.2549,217.605,9.4
2010-07-06,29.649999618530273,116.01,141.8709528,0.17,3.01,7.14,92.2549,217.605,9.4
2010-07-07,26.84000015258789,117.77,141.8709528,0.16,3.01,7.1,92.2549,217.605,9.4
2010-07-08,25.709999084472656,117.22,141.8709528,0.15,3.01,6.98,92.2549,217.605,9.4
2010-07-09,24.979999542236328,117.97,141.8709528,0.16,3.01,6.88,92.2549,217.605,9.4
2010-07-12,24.43000030517578,118.72,141.8709528,0.16,3.01,6.85,92.2549,217.605,9.4
2010-07-13,24.559999465942383,119.33,141.8709528,0.15,3.01,6.7,92.2549,217.605,9.4
2010-07-14,24.889999389648438,120.07,141.8709528,0.15,3.01,6.68,92.2549,217.605,9.4
2010-07-15,25.139999389648438,118.58,141.8709528,0.15,3.01,6.73,92.2549,217.605,9.4
2010-07-16,26.25,118.67,141.8709528,0.15,3.01,6.77,92.2549,217.605,9.4
2010-07-19,25.969999313354492,118.78,141.8709528,0.17,3.01,6.77,92.2549,217.605,9.4
2010-07-20,23.93000030517578,119.07,141.8709528,0.16,3.01,6.79,92.2549,217.605,9.4
2010-07-21,25.639999389648438,117.29,141.8709528,0.16,3.01,6.75,92.2549,217.605,9.4
2010-07-22,24.6299991607666,118.22,141.8709528,0.16,3.01,6.67,92.2549,217.605,9.4
